Time,Country Code,Female Senior Mgmt Share,"Prevalence of overweight, male (% of male adults) ",Females with HIV+ Share,Female Agriculture Grads Share,"Female share of graduates in Arts and Humanities programmes, tertiary (%) ",Female Edu Grads Share,Female Health Grads Share,Female Services Grads Share,Female Graduation Ratio,Male Industry Employment,Male Employment Ratio,Advanced Edu Labor Force,Female Advanced Edu Labor Force,Female Basic Edu Labor Force,Intermediate Edu Labor Force,Female Intermediate Edu Labor Force,Female Labor Force,Male Labor Force,Total Labor Force,Paid Maternity Leave,Length of paid parental leave for father (calendar days) ,Paid Parental Leave,"Part time employment, male (% of total male employment) ",Total Part Time Employment,Female to Male Labor Force Ratio,"Self-employed, male (% of male employment) (modeled ILO estimate) ",Female Population,Male Population,Total Population,Rural Population,Urban population (% of total population) ,Agricultural Land,Cooling Degree Days,Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Heating Degree Days,Individuals using the Internet (% of population),Land Surface Temperature,Net migration,Population density (people per sq. km of land area),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Scientific and technical journal articles,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Value
2009,CHE,27.8999996185303,59.6,27.1,41.4616,60.90367,71.81233,76.9451,40.93481,32.535888671875,31.8600006103516,72.4000015258789,83.0699996948242,81.370002746582,42.7400016784668,67.879997253418,62.5800018310547,2068448.0,2409436.0,4477719.0,98.0,0.0,0.0,19.3799991607666,34.4300003051758,81.8312331938649,17.2199993133545,3933290.0,3810541.0,7743831.0,26.419,73.581,38.9082903127847,79.14,101.09,31.1485474238283,-2.29737463071545,8227.41,81.3,10.6229902,69106.0,195.966975402369,29.0,81.831231143423,17905.64,4.11,51.0
2010,CHE,28.1000003814697,60.0,27.1,44.63277,61.39002,70.1274,74.68114,41.38324,32.6397018432617,32.2900009155273,71.0199966430664,81.0,77.9300003051758,40.4099998474121,67.4800033569336,61.8699989318848,2035802.0,2411487.0,4447007.0,98.0,0.0,0.0,18.6000003814697,33.2599983215332,80.669640809129,17.9099998474121,3971373.0,3853536.0,7824909.0,26.393,73.607,38.8349023180484,85.23,98.98,31.2460775382124,3.24339733550173,8950.88,83.9,9.56325847,75604.0,198.018751897965,29.0,80.6696350502428,18709.05,4.81,50.0
2010,CHE,28.1000003814697,60.0,27.1,44.63277,61.39002,70.1274,74.68114,41.38324,32.6397018432617,32.2900009155273,71.0199966430664,81.0,77.9300003051758,40.4099998474121,67.4800033569336,61.8699989318848,2035802.0,2411487.0,4447007.0,98.0,0.0,0.0,18.6000003814697,33.2599983215332,80.669640809129,17.9099998474121,3971373.0,3853536.0,7824909.0,26.393,73.607,38.8349023180484,85.23,98.98,31.2460775382124,3.24339733550173,8950.88,83.9,9.56325847,75604.0,198.018751897965,29.0,80.6696350502428,18709.05,4.81,20.0
2011,CHE,28.6000003814697,60.5,27.2,31.56627,61.21809,69.81899,71.25219,42.69621,31.7432708740234,32.2700004577637,71.6399993896484,81.2799987792969,78.5800018310547,41.6800003051758,67.379997253418,61.7900009155273,2077304.0,2455036.0,4532128.0,98.0,0.0,0.0,18.8299999237061,33.2999992370605,81.0638577649976,17.4699993133545,4012325.0,3900073.0,7912398.0,26.369,73.631,38.7589837028039,64.36,104.56,31.3330802712825,1.81310819203695,7772.16,85.19302818,12.6881797,66975.0,200.23276647434,28.5,81.0638525819584,19755.56,4.41,49.0
2012,CHE,28.6000003814697,60.9,27.2,37.159496000000004,61.314248,69.91376599999998,73.84163000000001,41.943398,39.093506622314436,31.2099990844727,71.3099975585938,81.620002746582,79.6100006103516,40.4500007629395,67.1500015258789,61.7999992370605,2109543.0,2480704.0,4589900.0,98.0,0.0,0.0,19.5400009155273,33.9700012207031,81.6617018268834,17.3299999237061,4051266.0,3945595.0,7996861.0,26.347,73.653,38.6855957080676,74.01,100.47,31.4200830043527,1.17925383325108,8326.21,85.2,11.0644867,67464.0,202.370204474137,29.0,81.6616987566798,20769.07,4.49,50.0
2012,CHE,28.6000003814697,60.9,27.2,37.159496000000004,61.314248,69.91376599999998,73.84163000000001,41.943398,39.093506622314436,31.2099990844727,71.3099975585938,81.620002746582,79.6100006103516,40.4500007629395,67.1500015258789,61.7999992370605,2109543.0,2480704.0,4589900.0,98.0,0.0,0.0,19.5400009155273,33.9700012207031,81.6617018268834,17.3299999237061,4051266.0,3945595.0,7996861.0,26.347,73.653,38.6855957080676,74.01,100.47,31.4200830043527,1.17925383325108,8326.21,85.2,11.0644867,67464.0,202.370204474137,29.0,81.6616987566798,20769.07,4.49,19.0
2013,CHE,28.1000003814697,61.3,27.2,30.1264,61.39997,70.24188,74.35945,42.93348,48.4077682495117,31.3299999237061,70.7799987792969,81.3000030517578,79.7900009155273,41.2799987792969,66.2200012207031,61.0200004577637,2143961.0,2504287.0,4647770.0,98.0,0.0,0.0,19.8400001525879,34.3499984741211,82.4210577203464,17.3400001525879,4093847.0,3995499.0,8089346.0,26.326,73.674,38.5889133515538,98.27,97.37,31.5070857374228,1.79214405707484,8630.6,86.34,10.8155064,83892.0,204.710648851098,31.0,82.4210639846847,21302.67,4.75,44.0
2014,CHE,28.8999996185303,61.8,27.2,34.83927,61.17314,69.25316,74.23423,41.32082,50.0370903015137,30.5400009155273,70.6699981689453,80.6900024414063,79.1500015258789,42.4199981689453,67.1500015258789,62.5800018310547,2195678.0,2536956.0,4732391.0,98.0,0.0,0.0,21.4500007629395,35.060001373291,83.4884684779815,17.2000007629395,4140499.0,4048150.0,8188649.0,26.304,73.696,38.5135818402672,40.55,102.58,31.594088470493,2.34988127508626,7797.25,87.4,12.1859893,77880.0,207.223630934305,31.0,83.488466208013,21788.24,4.83,42.0
2014,CHE,28.8999996185303,61.8,27.2,34.83927,61.17314,69.25316,74.23423,41.32082,50.0370903015137,30.5400009155273,70.6699981689453,80.6900024414063,79.1500015258789,42.4199981689453,67.1500015258789,62.5800018310547,2195678.0,2536956.0,4732391.0,98.0,0.0,0.0,21.4500007629395,35.060001373291,83.4884684779815,17.2000007629395,4140499.0,4048150.0,8188649.0,26.304,73.696,38.5135818402672,40.55,102.58,31.594088470493,2.34988127508626,7797.25,87.4,12.1859893,77880.0,207.223630934305,31.0,83.488466208013,21788.24,4.83,16.0
2015,CHE,31.2000007629395,62.2,27.3,31.19266,61.29948,68.85556,73.89768,40.07573,51.0427207946777,29.9899997711182,70.7300033569336,80.5699996948242,79.1500015258789,43.0499992370605,67.0699996948242,62.310001373291,2233133.0,2571945.0,4804656.0,98.0,0.0,0.0,20.9699993133545,34.7700004577637,83.9233492966608,16.4200000762939,4184583.0,4097813.0,8282396.0,26.282,73.718,38.4384160048466,175.2,99.43,31.6810671517356,1.64462768699285,7803.98,87.4790556,12.6858763,71488.0,209.59585261981,32.0,83.9233495492339,21848.15,4.8,41.0
